"date","AAPL","AMZN","MMM","JPM","SPY","DGS1MO"
2004-09-30,0.579998672008514,2.04299998283386,35.8489990234375,22.1938610076904,74.8357238769531,1.47
2004-10-29,0.784307837486267,1.70650005340576,34.7731132507324,21.7459030151367,75.7999725341797,1.73
2004-11-30,1.00358498096466,1.98399996757507,35.8364105224609,21.2107105255127,79.1744003295898,2.07
2004-12-31,0.963920831680298,2.21449995040894,36.9530754089355,21.9768810272217,81.559196472168,1.89
2005-01-31,1.15101683139801,2.16100001335144,37.9841804504395,21.2146644592285,79.730583190918,2.06
2005-02-28,1.3429034948349,1.75899994373322,37.9848365783691,20.771390914917,81.3972702026367,2.51
2005-03-31,1.24740934371948,1.71350002288818,38.7767791748047,19.6631965637207,79.9083099365234,2.63
2005-04-29,1.07947158813477,1.61800003051758,34.6044960021973,20.3712291717529,78.4111938476562,2.7
2005-05-31,1.19023251533508,1.77550005912781,34.8761596679688,20.5204582214355,80.9379806518555,2.8
2005-06-30,1.1019229888916,1.65450000762939,32.8968811035156,20.2736473083496,81.0605926513672,2.99
2005-07-29,1.27674579620361,2.2574999332428,34.1253852844238,20.3663749694824,84.1620864868164,3.25
2005-08-31,1.40367233753204,2.13499999046326,32.5645027160645,19.6418991088867,83.3731231689453,3.41
2005-09-30,1.60483837127686,2.26500010490417,33.5759696960449,19.6650905609131,84.0422058105469,3.15
2005-10-31,1.7239818572998,1.99300003051758,34.7751350402832,21.4377689361572,82.0545272827148,3.77
2005-11-30,2.03021931648254,2.42300009727478,36.1107711791992,22.391996383667,85.661018371582,4
2005-12-30,2.1520574092865,2.35750007629395,35.6598320007324,23.2349796295166,85.4970703125,4.01
2006-01-31,2.26042437553406,2.2409999370575,33.4742431640625,23.4686584472656,87.5502700805664,4.37
2006-02-28,2.05027675628662,1.87199997901917,34.0748748779297,24.2893123626709,88.0515213012695,4.47
2006-03-31,1.87754905223846,1.82650005817413,35.0472526550293,24.5845127105713,89.5047149658203,4.65
2006-04-28,2.10715460777283,1.76049995422363,39.5572357177734,27.0116653442383,90.6352996826172,4.6
2006-05-31,1.78924012184143,1.73049998283386,38.9441223144531,25.3807334899902,87.9053268432617,4.75
2006-06-30,1.71440184116364,1.93400001525879,37.5988273620605,24.9997730255127,88.1345596313477,4.54
2006-07-31,2.03441143035889,1.34449994564056,32.7715492248535,27.3761444091797,88.5292587280273,5.02
2006-08-31,2.03111910820007,1.54149997234344,33.5934524536133,27.4001388549805,90.4612121582031,5.12
2006-09-29,2.30442881584167,1.60599994659424,34.8678588867188,28.1802635192871,92.90380859375,4.6
2006-10-31,2.42716407775879,1.90450000762939,36.9387474060059,28.6724643707275,95.8318328857422,5.18
2006-11-30,2.74388122558594,2.01699995994568,38.3832473754883,27.9713802337646,97.7374496459961,5.22
2006-12-29,2.53972148895264,1.97300004959106,36.7199325561523,29.1922435760498,99.0443649291992,4.75
2007-01-31,2.56636428833008,1.88349997997284,35.009521484375,31.0000152587891,100.533981323242,5
2007-02-28,2.53283715248108,1.95700001716614,35.1260261535645,30.0626659393311,98.561767578125,5.24
2007-03-30,2.78130030632019,1.98950004577637,36.2403144836426,29.4478893280029,99.7039642333984,5.07
2007-04-30,2.98755574226379,3.06649994850159,39.2465133666992,31.9372673034668,104.120491027832,4.8
2007-05-31,3.62787532806396,3.45700001716614,41.941032409668,31.7717742919922,107.652214050293,4.78
2007-06-29,3.6533191204071,3.42050004005432,41.3831748962402,29.6998291015625,106.078285217285,4.28
2007-07-31,3.94429183006287,3.92700004577637,42.3987846374512,27.1883125305176,102.756942749023,5.13
2007-08-31,4.14545726776123,3.99550008773804,43.6225204467773,27.5033779144287,104.075569152832,4.02
2007-09-28,4.59419012069702,4.65749979019165,44.8642044067383,28.3064937591553,108.104827880859,3.43
2007-10-31,5.68623399734497,4.45749998092651,41.4027976989746,29.2713222503662,109.57137298584,4.01
2007-11-30,5.45483207702637,4.52799987792969,40.1524772644043,28.4118576049805,105.327430725098,3.63
2007-12-31,5.92960977554321,4.63199996948242,40.6636772155762,27.1849594116211,104.14136505127,2.76
2008-01-31,4.05205869674683,3.88499999046326,38.4115447998047,29.7797012329102,97.8448867797852,1.64
2008-02-29,3.7425274848938,3.22350001335144,38.0469856262207,25.538911819458,95.3163375854492,2.07
2008-03-31,4.2957329750061,3.56500005722046,38.4109420776367,26.9839115142822,94.463981628418,1.22
2008-04-30,5.20726680755615,3.93149995803833,37.3190460205078,30.1807632446289,98.9663391113281,1.17
2008-05-30,5.65031051635742,4.08099985122681,37.8836555480957,27.235523223877,100.462387084961,1.98
2008-06-30,5.0123872756958,3.66650009155273,33.9907379150391,21.7314186096191,92.0661315917969,1.6
2008-07-31,4.75823593139648,3.81699991226196,34.3814964294434,26.0226306915283,91.238883972168,1.55
2008-08-29,5.07495498657227,4.04050016403198,35.2194709777832,24.6519985198975,92.648811340332,1.63
2008-09-30,3.40246176719666,3.63800001144409,33.6011428833008,29.9103260040283,83.9237899780273,1.02
2008-10-31,3.22075223922729,2.86199998855591,31.6286525726318,26.623571395874,70.0606994628906,0.12
2008-11-28,2.77411580085754,2.13499999046326,33.1892509460449,20.4339981079102,65.1839904785156,0.02
2008-12-31,2.55498909950256,2.56399989128113,28.5329418182373,20.3500823974609,65.8226013183594,0.11
2009-01-30,2.69807958602905,2.94099998474121,26.6733837127686,16.6655178070068,60.4175643920898,0.15
2009-02-27,2.67353343963623,3.23950004577637,22.7877941131592,14.9277486801147,53.92578125,0.16
2009-03-31,3.14681315422058,3.67199993133545,24.9231986999512,17.3645362854004,58.4183616638184,0.17
2009-04-30,3.76677465438843,4.02600002288818,28.8732242584229,21.5970497131348,64.2220077514648,0.04
2009-05-29,4.06552886962891,3.89949989318848,28.8721733093262,24.1494255065918,67.9760131835938,0.14
2009-06-30,4.26370286941528,4.18300008773804,30.3890781402588,22.3235054016113,67.9314880371094,0.17
2009-07-31,4.89114904403687,4.28800010681152,35.6578826904297,25.3318576812744,72.9995574951172,0.14
2009-08-31,5.03543853759766,4.05950021743774,36.7230224609375,28.4844188690186,75.6961364746094,0.11
2009-09-30,5.54853057861328,4.66800022125244,37.5888824462891,28.7203693389893,78.3801193237305,0.06
2009-10-30,5.64282894134521,5.94049978256226,37.471736907959,27.4099006652832,76.8732452392578,0.01
2009-11-30,5.98439168930054,6.79549980163574,39.6998672485352,27.8823585510254,81.6091766357422,0.08
2009-12-31,6.30829381942749,6.72599983215332,42.3810577392578,27.3442649841309,83.1679534912109,0.04
2010-01-29,5.74939823150635,6.27050018310547,41.2634582519531,25.5835113525391,80.1454162597656,0.02
2010-02-26,6.12538576126099,5.92000007629395,41.3589782714844,27.57421875,82.6455612182617,0.09
2010-03-31,7.03482484817505,6.78849983215332,43.1237678527832,29.4006843566895,87.6769943237305,0.15
2010-04-30,7.81584119796753,6.85500001907349,45.7554779052734,28.0062770843506,89.0333251953125,0.14
2010-05-31,7.68981313705444,6.27299976348877,41.182861328125,26.0330829620361,81.9592590332031,0.15
2010-06-30,7.5296573638916,5.46299982070923,41.0167083740234,24.0796127319336,77.7185974121094,0.17
2010-07-30,7.70088624954224,5.89449977874756,44.4178695678711,26.5297241210938,83.0268402099609,0.14
2010-08-31,7.27730226516724,6.24149990081787,41.0444869995117,23.9478874206543,79.2922592163086,0.16
2010-09-30,8.49417877197266,7.85300016403198,45.3083076477051,25.0675659179688,86.3932723999023,0.14
2010-10-29,9.00996494293213,8.26150035858154,44.0072212219238,24.8163223266602,89.6936416625977,0.14
2010-11-30,9.3144063949585,8.77000045776367,44.1569938659668,24.6646347045898,89.6936416625977,0.18
2010-12-31,9.65597057342529,9,45.3768577575684,27.9752388000488,95.6898803710938,0.07
2011-01-31,10.1576890945435,8.48200035095215,46.2286567687988,29.6711711883545,97.9194412231445,0.15
2011-02-28,10.5734901428223,8.66450023651123,48.7865371704102,30.8265933990479,101.320915222168,0.13
2011-03-31,10.4327983856201,9.00650024414062,49.4583129882812,30.4370594024658,101.333099365234,0.05
2011-04-29,10.4812917709351,9.79049968719482,51.4207496643066,30.2901172637939,104.267822265625,0.02
2011-05-31,10.4124383926392,9.83450031280518,50.2180862426758,28.7036018371582,103.098533630371,0.04
2011-06-30,10.0484218597412,10.2244997024536,50.4681625366211,27.1767978668213,101.359275817871,0.01
2011-07-29,11.6891832351685,11.1260004043579,46.3657913208008,27.016508102417,99.3316192626953,0.16
2011-08-31,11.5200500488281,10.7615003585815,44.4499855041504,25.086275100708,93.8708038330078,0.01
2011-09-30,11.4149761199951,10.8114995956421,38.4558258056641,20.1171112060547,87.3542327880859,0.02
2011-10-31,12.1172609329224,10.6754999160767,42.328727722168,23.4205341339111,96.8887023925781,0.02
2011-11-30,11.4413175582886,9.61450004577637,43.7175102233887,20.8669147491455,96.4949493408203,0.02
2011-12-30,12.1238489151001,8.65499973297119,44.0897331237793,22.4031295776367,97.5031661987305,0.01
2012-01-31,13.6649217605591,9.72200012207031,46.776237487793,25.3128299713135,102.024826049805,0.04
2012-02-29,16.2381763458252,8.98449993133545,47.5753517150879,26.6293830871582,106.45329284668,0.08
2012-03-30,17.9477825164795,10.1254997253418,48.4497604370117,31.2033309936523,109.877258300781,0.05
2012-04-30,17.4816913604736,11.5950002670288,48.5311965942383,29.3583793640137,109.143714904785,0.07
2012-05-31,17.2945976257324,10.6455001831055,46.1603660583496,22.6437931060791,102.589027404785,0.03
2012-06-29,17.4822826385498,11.4174995422363,48.9985694885254,24.4061164855957,106.752151489258,0.04
2012-07-31,18.2833671569824,11.664999961853,49.8899612426758,24.7955780029297,108.014984130859,0.07
2012-08-31,19.9997406005859,12.4134998321533,50.9617042541504,25.5807647705078,110.721099853516,0.09
2012-09-28,20.0556602478027,12.7159996032715,50.862663269043,27.8812446594238,113.527931213379,0.06
2012-10-31,17.8976669311523,11.6444997787476,48.2100067138672,28.9197959899902,111.461936950684,0.09
2012-11-30,17.6761951446533,12.602499961853,50.3855400085449,28.5034713745117,112.092765808105,0.11
2012-12-31,16.0722122192383,12.5434999465942,51.4381141662598,30.5087051391602,113.094253540039,0.02
2013-01-31,13.7563762664795,13.2749996185303,55.7038650512695,32.8700370788574,118.883613586426,0.04
2013-02-28,13.4085340499878,13.2135000228882,57.9709358215332,34.1764602661133,120.400436401367,0.07
2013-03-29,13.4468097686768,13.3245000839233,59.2585639953613,33.1564750671387,124.972129821777,0.04
2013-04-30,13.4504528045654,12.6905002593994,58.36669921875,34.4534301757812,127.373176574707,0.03
2013-05-31,13.7520065307617,13.460000038147,61.8163795471191,38.3760948181152,130.380401611328,0.03
2013-06-28,12.1252336502075,13.8844995498657,61.3006324768066,37.1107139587402,128.640579223633,0.02
2013-07-31,13.8376226425171,15.0609998703003,65.8302001953125,39.4631958007812,135.288360595703,0.03
2013-08-30,14.9967575073242,14.048999786377,64.024169921875,35.7810096740723,131.230697631836,0.02
2013-09-30,14.6744890213013,15.6319999694824,67.3105087280273,36.6024169921875,135.383590698242,0.03
2013-10-31,16.0888328552246,18.2014999389648,70.9406585693359,36.7650756835938,141.652862548828,0.03
2013-11-29,17.2159099578857,19.6809997558594,75.6278076171875,40.8168029785156,145.851089477539,0.05
2013-12-31,17.3691539764404,19.9395008087158,79.4457321166992,41.7155876159668,149.632507324219,0.01
2014-01-31,15.4985570907593,17.9344997406006,72.6142501831055,39.7482757568359,144.358169555664,0.03
2014-02-28,16.3898944854736,18.1049995422363,76.8203582763672,40.7965545654297,150.928756713867,0.04
2014-03-31,16.7169189453125,16.8185005187988,77.3506469726562,43.5895462036133,152.180847167969,0.03
2014-04-30,18.3785247802734,15.2065000534058,79.3063430786133,40.4467697143555,153.238677978516,0.02
2014-05-30,19.8250751495361,15.6274995803833,81.7777938842773,40.1505393981934,156.794830322266,0.05
2014-06-30,20.3734817504883,16.2390003204346,82.1736145019531,41.6317024230957,160.031829833984,0.02
2014-07-31,20.9588356018066,15.6494998931885,80.8254699707031,41.9591217041016,157.881423950195,0.01
2014-08-29,22.5833339691162,16.9519996643066,83.1021728515625,43.2541961669922,164.111953735352,0.02
2014-09-30,22.1977653503418,16.1219997406006,81.7633056640625,43.8289833068848,161.84782409668,0.02
2014-10-31,23.7951202392578,15.2729997634888,88.7404174804688,44.3000564575195,165.659439086914,0.01
2014-11-28,26.3168907165527,16.931999206543,92.8835601806641,44.0656700134277,170.210433959961,0.04
2014-12-31,24.4249477386475,15.5174999237061,95.3378143310547,45.8382568359375,169.778732299805,0.03
2015-01-30,25.9252281188965,17.7264995574951,94.1657943725586,40.088207244873,164.748275756836,0.01
2015-02-27,28.5378856658936,19.007999420166,98.4586791992188,45.1747932434082,174.007904052734,0.02
2015-03-31,27.6426029205322,18.6049995422363,96.2985916137695,44.658763885498,171.274978637695,0.05
2015-04-30,27.8025569915771,21.0890007019043,91.3012084960938,46.944393157959,172.95930480957,0
2015-05-29,29.0631046295166,21.4615001678467,93.4589233398438,48.8144378662109,175.182876586914,0.01
2015-06-30,27.9811458587646,21.7045001983643,90.6506652832031,50.2837829589844,171.624557495117,0.02
2015-07-31,27.0598239898682,26.8075008392334,88.9116897583008,51.1875762939453,175.501419067383,0.04
2015-08-31,25.2685718536377,25.6445007324219,84.0878829956055,47.8786430358887,164.804595947266,0
2015-09-30,24.7173080444336,25.5944995880127,83.8689880371094,45.5407257080078,160.599487304688,0
2015-10-30,26.7789440155029,31.2950000762939,93.0030670166016,48.3369674682617,174.259979248047,0.01
2015-11-30,26.6235122680664,33.2400016784668,93.2389602661133,50.1650810241699,174.896926879883,0.11
2015-12-31,23.6888484954834,33.7944984436035,89.7018737792969,49.676082611084,171.874267578125,0.14
2016-01-29,21.9064502716064,29.3500003814697,89.9162292480469,45.0636940002441,163.317245483398,0.22
2016-02-29,21.8782367706299,27.6259994506836,94.0865478515625,42.6401062011719,163.182373046875,0.23
2016-03-31,24.6613807678223,29.681999206543,99.9403686523438,44.8516273498535,174.158905029297,0.18
2016-04-29,21.2107353210449,32.9794998168945,100.390190124512,48.2203636169434,174.845352172852,0.16
2016-05-31,22.7330932617188,36.1394996643066,101.626220703125,49.7997207641602,177.819747924805,0.27
2016-06-30,21.7633037567139,35.7809982299805,105.73184967041,47.4115982055664,178.437850952148,0.2
2016-07-29,23.72336769104,37.9404983520508,107.688041687012,49.187801361084,184.945678710938,0.19
2016-08-31,24.2844715118408,38.4580001831055,108.893630981445,51.9020805358887,185.167129516602,0.26
2016-09-30,25.8752136230469,41.8655014038086,107.065002441406,51.2023658752441,185.177917480469,0.2
2016-10-31,25.987361907959,39.4910011291504,100.424713134766,53.6425247192383,181.967498779297,0.2
2016-11-30,25.4260120391846,37.5284996032715,105.006149291992,62.0924072265625,188.670867919922,0.38
2016-12-30,26.6453170776367,37.4934997558594,109.182182312012,66.832405090332,192.495559692383,0.44
2017-01-31,27.917537689209,41.173999786377,106.88932800293,65.9094085693359,195.940185546875,0.5
2017-02-28,31.652271270752,42.2519989013672,114.681060791016,70.5743942260742,203.639007568359,0.4
2017-03-31,33.193416595459,44.3269996643066,117.745811462402,68.4093399047852,203.893478393555,0.74
